table,description,domain
ANLC,Asset Value Fields,FI-AA
ANEK,Asset Document Header,FI-AA
ANEP,Asset Line Items,FI-AA
ANEA,Asset Proportional Values,FI-AA
ANLP,Asset Periodic Values,FI-AA
ANLU,Asset Master Origin,FI-AA
FAAT_DOC_IT,Asset Accounting Document Items,FI-AA
FAAT_DOC_IT_AA,Asset Accounting Document Items,FI-AA
T093,Asset Accounting Config,FI-AA
T093B,Depreciation Areas,FI-AA
T095,Asset Class Account Determination,FI-AA
T096,Asset Class Account Determination,FI-AA
CKMLHD,Material Ledger Header,CO-ML
CKMLPP,Material Ledger Period Data,CO-ML
CKMLCR,Material Ledger Currency Data,CO-ML
MLHD,Material Ledger Header Legacy,CO-ML
MLIT,Material Ledger Items,CO-ML
MLCR,Material Ledger Currencies,CO-ML
MLCD,Material Ledger Documents,CO-ML
CKMI1,Material Ledger Price History,CO-ML
MSEG,Material Document Segment Legacy,MM
MSTQ,Stock Quantity,MM
MSTB,Stock Value,MM
MSSA,Special Stock Aggregates,MM
MSSQ,Special Stock Quantity,MM
MSSL,Special Stock by Storage Location,MM
MVKE,Material Sales Data,SD
MLGN,Warehouse Material,EWM
MLGT,Warehouse Material Storage Type,EWM
LQUA,Quant,EWM
LTAP,Transfer Order Item,LE-WM
LTAK,Transfer Order Header,LE-WM
VEKP,Handling Unit Header,LE
VEPO,Handling Unit Item,LE
STKO,BOM Header,PP
STPO,BOM Item,PP
MAST,Material to BOM Link,PP
STAS,BOM Item Selection,PP
PLKO,Routing Header,PP
PLPO,Routing Operation,PP
MAPL,Material Routing Assignment,PP
PLMZ,Routing Assignment,PP
CRHD,Work Center Header,PP
CRTX,Work Center Text,PP
KAKO,Capacity Header,PP
KBED,Capacity Requirements,PP
RESB,Reservation/Dependent Requirement,PP/MM
MDKP,MRP Header,PP-MRP
MDTB,MRP Table,PP-MRP
PLAF,Planned Order,PP-MRP
PBIM,Independent Requirements,PP-MRP
PBED,Independent Requirement Data,PP-MRP
MDSB,Dependent Requirements,PP-MRP
VBBE,Sales Requirements,PP-MRP
MDVM,MRP Planning File,PP-MRP
SWWWIHEAD,Workflow Work Item Header,Workflow
SWWLOGHIST,Workflow History,Workflow
TSTC,Transaction Codes,Basis
DD02L,Table Definitions,DDIC
DD03L,Table Fields,DDIC
